X1,sample_size,Drift_effect_size,RT_effect_size,Acc_effect_size,Drsig,RTsig,Acsig
82,60,10,1.7540429462,1.6400969443,1,1,1
83,60,12,2.1044789429,1.8682786523,1,1,1
84,70,0,0.127112636,0.1317666182,0.01975,0.0195,0.02075
85,70,0.5,0.146530377,0.1552378305,0.0955,0.067,0.082
86,70,1,0.1887023012,0.218737653,0.26925,0.14325,0.2055
87,70,1.5,0.2645336655,0.2947021342,0.509,0.318,0.3935
88,70,2,0.336223958,0.3847102147,0.761,0.5,0.61125
89,70,2.5,0.421133536,0.4828102455,0.9205,0.7095,0.81
90,70,3,0.5113279878,0.5715385828,0.98375,0.8655,0.92325
91,70,3.5,0.5966073514,0.6588753716,0.997,0.9505,0.9795
92,70,4,0.6850991509,0.7437850903,0.99875,0.98525,0.99325
93,70,5,0.8592451853,0.9059800022,1,1,0.9995
94,70,6,1.0403907603,1.0711823395,1,1,1
95,70,8,1.3967455263,1.3708771275,1,1,1
96,70,10,1.7483973179,1.6370840193,1,1,1
97,70,12,2.1027724138,1.8632347906,1,1,1
98,75,0,0.1238839704,0.1276345584,0.021,0.01775,0.019
99,75,1,0.18776823,0.2132790719,0.28,0.1545,0.2125
100,75,2,0.3392101525,0.3836023903,0.7925,0.53525,0.6485
101,75,3,0.5109062527,0.5677233792,0.9885,0.8905,0.9355
102,75,4,0.6878395391,0.7422557812,0.9995,0.9915,0.9955
103,75,8,1.3912438189,1.3604107472,1,1,1
104,75,12,2.101863449,1.8678618639,1,1,1
105,80,0,0.1185539534,0.1228735754,0.01875,0.01425,0.02
106,80,0.5,0.1336814558,0.1450752577,0.103,0.055,0.0775
107,80,1,0.1847236627,0.2133715441,0.29825,0.16875,0.232
108,80,1.5,0.2563456344,0.2909548752,0.565,0.35,0.431
109,80,2,0.338661413,0.3842551751,0.82575,0.56525,0.67425
110,80,2.5,0.4195551003,0.4787411556,0.942,0.768,0.8535
111,80,3,0.5062936852,0.56878258,0.992,0.902,0.953
112,80,3.5,0.6017766099,0.6523602088,0.999,0.971,0.9865
113,80,4,0.6855014701,0.7401522976,0.99975,0.9945,0.99825
114,80,5,0.8597767365,0.916929472,1,0.999,1
115,80,6,1.0405706708,1.0733530815,1,1,1
