,sample_size,Drift_effect_size,RT_effect_size,Acc_effect_size,Drsig,RTsig,Acsig
29,30.0,0.4999999999999982,0.20871688539791677,0.2220074467611891,0.0615,0.042,0.0575
30,30.0,1.0000000000000009,0.24068210320025518,0.2643738985558058,0.12675,0.084,0.102
31,30.0,1.4999999999999991,0.29709239398469733,0.3220924928729604,0.24,0.1515,0.1835
32,30.0,2.0000000000000018,0.3565328960631917,0.40256435070326074,0.4038333333333333,0.236,0.3016666666666667
33,30.0,2.5,0.4370883552210692,0.48895620540141466,0.578,0.356,0.441
34,30.0,2.9999999999999982,0.5172458705498336,0.5814299729655281,0.741,0.48475,0.5855
35,30.0,3.5000000000000013,0.6017240594580281,0.6583402189145169,0.8565,0.626,0.714
36,30.0,3.9999999999999987,0.6820304043554509,0.7533856224754175,0.93275,0.749,0.81725
37,30.0,5.0,0.8743612355493029,0.911333782464466,0.989,0.921,0.9275
38,30.0,6.000000000000001,1.0408946064016704,1.0806386253570335,1.0,0.981,0.988
39,30.0,7.999999999999997,1.415114153062933,1.3715218397268893,1.0,1.0,0.999
40,30.0,10.0,1.77251228776039,1.6359329180331221,1.0,1.0,1.0
41,30.0,12.000000000000002,2.1225699085885457,1.8900729016015358,1.0,1.0,1.0
42,40.0,0.0,0.17070082983126803,0.1768950864155443,0.023,0.020166666666666666,0.021833333333333333
43,40.0,0.4999999999999982,0.1821488544831844,0.19079888675168852,0.063,0.0385,0.051
44,40.0,1.0000000000000009,0.22388240594157474,0.23739017585159633,0.15875,0.10325,0.12425
45,40.0,1.4999999999999991,0.2731259441761077,0.3172751145443545,0.331,0.173,0.256
46,40.0,2.0000000000000018,0.3432847250934257,0.39219215073510333,0.5231666666666667,0.2971666666666667,0.38466666666666666
47,40.0,2.5,0.43075413144601077,0.4864866079689452,0.7105,0.461,0.5675
48,40.0,2.9999999999999982,0.5046042843676395,0.5778604769192243,0.85475,0.60525,0.70775
49,40.0,3.5000000000000013,0.6057683888456308,0.6564548697600161,0.9335,0.767,0.827
50,40.0,3.9999999999999987,0.690643068258465,0.7553956574999603,0.985,0.8695,0.92275
51,40.0,5.0,0.8646106188871276,0.9015727599472165,0.9985,0.982,0.979
52,40.0,6.000000000000001,1.0574765977609415,1.0733178330176505,1.0,0.997,0.9975
53,40.0,7.999999999999997,1.3959166938495629,1.3769695310177055,1.0,1.0,1.0
54,40.0,10.0,1.759632232205764,1.63454964219503,1.0,1.0,1.0
55,40.0,12.000000000000002,2.111918755395504,1.883677145936028,1.0,1.0,1.0
56,50.0,0.0,0.1517735447804932,0.15315756751768342,0.019666666666666666,0.0185,0.018833333333333334
57,50.0,0.4999999999999982,0.16706102669220974,0.1705722511370346,0.07,0.048,0.0565
58,50.0,1.0000000000000009,0.19947306408445561,0.23071144796254758,0.18175,0.1,0.15725
59,50.0,1.4999999999999991,0.272739443222846,0.30246853467482937,0.395,0.232,0.289
60,50.0,2.0000000000000018,0.3411220763332353,0.38747310288376935,0.5993333333333334,0.36533333333333334,0.4706666666666667
61,50.0,2.5,0.42300163852996875,0.4840446556545334,0.8155,0.5485,0.6755
62,50.0,2.9999999999999982,0.5119845999146865,0.5721240073830669,0.92575,0.72525,0.81125
63,50.0,3.5000000000000013,0.5954589953009731,0.6615100564612498,0.9785,0.845,0.909
64,50.0,3.9999999999999987,0.6790309365953645,0.7428830744768302,0.99075,0.9225,0.96425
65,50.0,5.0,0.8722177903757022,0.9107899177991744,1.0,0.993,0.9985
66,50.0,6.000000000000001,1.03375637505437,1.0721857231179486,1.0,0.9995,1.0
67,50.0,7.999999999999997,1.4064060582223126,1.374418867025898,1.0,1.0,1.0
68,50.0,10.0,1.7562177532100272,1.6294995196680617,1.0,1.0,1.0
69,50.0,12.000000000000002,2.10394793978572,1.8634215048074096,1.0,1.0,1.0
70,60.0,0.0,0.13621676945024502,0.1434385361468672,0.0175,0.0175,0.023
71,60.0,0.4999999999999982,0.1556987477571239,0.16549356016366573,0.0895,0.0505,0.076
72,60.0,1.0000000000000009,0.19676500770906433,0.21807756012728063,0.221,0.1245,0.178
73,60.0,1.4999999999999991,0.26530860764973735,0.3054464104303914,0.4685,0.2645,0.3685
